# Insert your annotations below. Mouse-over the headers to see instructions. Contact maxh@ucsc.edu if you have questions on this form or suggestions.,,,,,,
"# Note that the annotations do not go immediately to the public site, they are only made public once per day. To show the current version of the annotations track, click this link:",,,,,,https://genome-test.gi.ucsc.edu/cgi-bin/hgTracks?db=wuhCor1&hubUrl=https://hgwdev.gi.ucsc.edu/~max/userAnnots/hub.txt
Start,End,Label,Category,Long descriptive text,URL to website or paper with further info,Your email
1,450,5UTR,genes,5' UTR structured RNA,https://www.biorxiv.org/content/10.1101/2020.03.27.012906v1.full.pdf+html,jferna10@ucsc.edu
26214,26233,E-gene_FIP_+aln,CRISPR,MAMMOTH Bio Detection (+ strand aln) Cas 12a guide used in DETECTR assay from Mammoth Biosciences,https://mammoth.bio/2020/02/15/white-paper-a-protocol-for-rapid-detection-of-sars-cov-2-using-crispr-sars-cov-2-detectr/,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
26253,26274,E-gene_FIP_-aln,CRISPR,MAMMOTH Bio Detection (- strand aln) Cas 12a guide used in DETECTR assay from Mammoth Biosciences,https://mammoth.bio/2020/02/15/white-paper-a-protocol-for-rapid-detection-of-sars-cov-2-using-crispr-sars-cov-2-detectr/,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
26335,26354,E-gene_BIP_+aln,CRISPR,MAMMOTH Bio Detection (+ strand aln) Cas 12a guide used in DETECTR assay from Mammoth Biosciences,https://mammoth.bio/2020/02/15/white-paper-a-protocol-for-rapid-detection-of-sars-cov-2-using-crispr-sars-cov-2-detectr/,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
26374,26394,E-gene_BIP_-aln,CRISPR,MAMMOTH Bio Detection (- strand aln) Cas 12a guide used in DETECTR assay from Mammoth Biosciences,https://mammoth.bio/2020/02/15/white-paper-a-protocol-for-rapid-detection-of-sars-cov-2-using-crispr-sars-cov-2-detectr/,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
26402,26424,E-gene_B3_-aln,CRISPR,MAMMOTH Bio Detection (- strand aln) Cas 12a guide used in DETECTR assay from Mammoth Biosciences,https://mammoth.bio/2020/02/15/white-paper-a-protocol-for-rapid-detection-of-sars-cov-2-using-crispr-sars-cov-2-detectr/,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
29160,29181,N-gene_FIP_-aln,CRISPR,MAMMOTH Bio Detection (- strand aln) Cas 12a guide used in DETECTR assay from Mammoth Biosciences,https://mammoth.bio/2020/02/15/white-paper-a-protocol-for-rapid-detection-of-sars-cov-2-using-crispr-sars-cov-2-detectr/,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
29228,29247,N-gene_BIP_+aln,CRISPR,MAMMOTH Bio Detection (+ strand aln) Cas 12a guide used in DETECTR assay from Mammoth Biosciences,https://mammoth.bio/2020/02/15/white-paper-a-protocol-for-rapid-detection-of-sars-cov-2-using-crispr-sars-cov-2-detectr/,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
29290,29311,N-gene_B3_-aln,CRISPR,MAMMOTH Bio Detection (- strand aln) Cas 12a guide used in DETECTR assay from Mammoth Biosciences,https://mammoth.bio/2020/02/15/white-paper-a-protocol-for-rapid-detection-of-sars-cov-2-using-crispr-sars-cov-2-detectr/,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
23605,23617,furin_cleavage,proteins,"Novel polybasic protein cleavage site (aa seq RRAR) that can be processed by furin-like proteases, not present in the virus from SARS 2013 outbreak, situated on the S1 side of site where a human protease cleaves viral S protein into S1 and S2 facilitating infection. See also http://www.chinaxiv.org/abs/202002.00062, https://www.nature.com/articles/s41591-020-0820-9.pdf, and news article https://www.nature.com/articles/d41586-020-00660-x.  See https://www.biorxiv.org/content/10.1101/2020.04.10.036533v1.full.pdf for the structural interaction between the furin protein and this site on the viral S protein.",https://www.biorxiv.org/content/10.1101/2020.02.19.956581v1.full.pdf,haussler@ucsc.edu
22871,23086,ACE2_receptor,proteins,receptor biding site motif in the virus S protein for the human ACE2 protein,https://www.nature.com/articles/s41422-020-0305-x,haussler@ucsc.edu
23923,23980,fusion_peptide,proteins,fusion peptide in the viral S protein facilitating fusion of viral membrane with host cell membrane,https://www.nature.com/articles/s41422-020-0305-x,haussler@ucsc.edu
24289,24526,Heptad_Repeat_1,proteins,"Heptad Repeat 1 (HR1), part of virus S protein that combines with HR2 to form a 6-helix bundle that brings viral and cellular membranes into close proximity for fusion and infection",https://www.nature.com/articles/s41422-020-0305-x,haussler@ucsc.edu
25045,25180,Heptad_Repeat_2,proteins,"Heptad Repeat 2 (HR2), part of virus S protein that combines with HR1 to form a 6-helix bundle that brings viral and cellular membranes into close proximity for fusion and infection",https://www.nature.com/articles/s41422-020-0305-x,haussler@ucsc.edu
13467,13468,-1_frame_shift,proteins,"This base of the viral mRNA is sometimes translated twice by the ribosome due to programmed -1 ribosomal frameshifting. This allows translation to continue for almost the entire length of the remaining RNA, instead of hitting a stop codon very quickly, as it does without the frameshift. The reading frame downstream of this site is shifted by -1 bases relative to the reading frame upstream of this position. ",https://viralzone.expasy.org/860?outline=all_by_protein,haussler@ucsc.edu
28412,28433,crRNA_N18f,CRISPR,CRISPR-Cas 13d guide for PAC-MAN viral inhibition strategy,https://www.biorxiv.org/content/10.1101/2020.03.13.991307v1.full,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
3271,3294,Nsp3_gene_LB_+aln,primers,RT-LAMP primer ( + strand aln),https://www.biorxiv.org/content/10.1101/2020.03.09.983064v2.full,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
3191,3214,Nsp3_gene_LF_-aln,primers,RT-LAMP primer (- strand aln),https://www.biorxiv.org/content/10.1101/2020.03.09.983064v2.full,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
3322,3345,Nsp3_gene_B3_-aln,primers,RT-LAMP primer (- strand aln),https://www.biorxiv.org/content/10.1101/2020.03.09.983064v2.full,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
3215,3219,Nsp3_gene_FIP_-aln,primers,RT-LAMP primer (- strand aln),https://www.biorxiv.org/content/10.1101/2020.03.09.983064v2.full,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
3241,3262,Nsp3_gene_BIP_+aln,primers,RT-LAMP primer ( + strand aln),https://www.biorxiv.org/content/10.1101/2020.03.09.983064v2.full,"kiley.charbonneau@ucsf.edu, maureen.lewis@ucsf.edu, kord.kober@ucsf.edu"
